date                   ,end_date               ,label
2020-03-13 13:43:07.089,2020-03-13 13:43:48.299,Coin cuisine
2020-03-13 13:43:43.020,2020-03-13 13:43:49.451,Placard cuisine
2020-03-13 13:43:48.299,2020-03-13 13:45:03.926,Coin cuisine
2020-03-13 13:43:49.451,2020-03-13 13:45:14.006,Placard cuisine
2020-03-13 13:45:14.006,2020-03-13 13:48:36.252,Coin cuisine
2020-03-13 13:55:27.192,2020-03-13 13:56:03.593,Chambre à coucher
2020-03-13 13:59:16.135,2020-03-13 14:11:48.453,Chambre à coucher
2020-03-13 14:11:48.453,2020-03-13 14:12:24.540,Couloir principal
2020-03-13 14:12:24.540,2020-03-13 14:12:40.536,Coin cuisine
2020-03-13 14:12:40.536,2020-03-13 14:22:19.938,Coin cuisine
2020-03-13 14:22:21.442,2020-03-13 14:23:16.756,Couloir principal
2020-03-13 14:23:16.756,2020-03-13 14:28:14.640,Coin cuisine
2020-03-13 14:28:14.640,2020-03-13 14:28:39.645,Couloir principal
2020-03-13 14:28:39.645,2020-03-13 14:30:32.868,Couloir principal
2020-03-13 14:30:32.868,2020-03-13 14:34:53.166,Coin cuisine
2020-03-13 14:35:00.438,2020-03-13 14:35:13.753,Couloir principal
2020-03-13 14:35:13.753,2020-03-13 14:35:54.813,Coin cuisine
2020-03-13 14:35:17.702,2020-03-13 14:36:57.696,Couloir principal
2020-03-13 14:37:06.743,2020-03-13 14:37:17.442,Couloir principal
2020-03-13 14:37:23.137,2020-03-13 14:37:23.256,Coin cuisine
2020-03-13 14:38:58.971,2020-03-13 14:41:21.221,Salon
2020-03-13 14:42:06.905,2020-03-13 14:42:14.759,Couloir principal
2020-03-13 14:42:08.408,2020-03-13 14:42:18.320,Coin cuisine
2020-03-13 14:42:18.320,2020-03-13 14:43:45.591,Toilette
2020-03-13 14:44:15.164,2020-03-13 14:44:29.169,Salon
2020-03-13 14:44:29.169,2020-03-13 14:44:37.467,Salle de bain
2020-03-13 14:44:34.922,2020-03-13 14:44:39.154,Toilette
