date                   ,end_date               ,label
2020-06-26 18:25:32.251,2020-06-26 18:25:40.821,Cuisine
2020-06-26 18:25:37.112,2020-06-26 18:25:58.454,Chambre
2020-06-26 18:25:40.821,2020-06-26 18:25:59.965,Cuisine
2020-06-26 18:26:50.670,2020-06-26 18:26:59.189,Cuisine
2020-06-26 18:26:59.189,2020-06-26 18:27:18.818,Chambre
2020-06-26 18:27:18.818,2020-06-26 18:27:30.926,Cuisine
2020-06-26 18:27:24.462,2020-06-26 18:27:40.752,Chambre
2020-06-26 18:27:30.926,2020-06-26 18:27:42.025,Cuisine
2020-06-26 18:27:42.025,2020-06-26 18:28:08.692,Chambre
2020-06-26 18:28:08.692,2020-06-26 18:28:27.418,Cuisine
2020-06-26 18:28:27.418,2020-06-26 18:28:47.873,Chambre
2020-06-26 18:28:47.873,2020-06-26 18:29:01.001,Cuisine
2020-06-26 18:28:51.015,2020-06-26 18:29:05.579,Chambre
2020-06-26 18:29:01.001,2020-06-26 18:29:08.081,Cuisine
2020-06-26 18:30:31.749,2020-06-26 18:30:44.888,Cuisine
2020-06-26 18:30:44.888,2020-06-26 18:31:00.494,Chambre
2020-06-26 18:31:00.494,2020-06-26 18:31:14.605,Cuisine
2020-06-26 18:32:01.948,2020-06-26 18:32:11.548,Cuisine
2020-06-26 18:32:51.900,2020-06-26 18:33:00.939,Cuisine
2020-06-26 18:33:00.939,2020-06-26 18:33:07.530,Chambre
2020-06-26 18:33:07.530,2020-06-26 18:33:20.152,Cuisine
2020-06-26 18:33:13.064,2020-06-26 18:33:31.255,Chambre
2020-06-26 18:33:20.152,2020-06-26 18:33:33.199,Cuisine
2020-06-26 18:33:33.199,2020-06-26 18:33:53.352,Chambre
2020-06-26 18:33:53.352,2020-06-26 18:34:06.519,Cuisine
2020-06-26 18:34:42.111,2020-06-26 18:34:49.637,Cuisine
2020-06-26 18:34:47.344,2020-06-26 18:35:04.513,Chambre
2020-06-26 18:34:49.637,2020-06-26 18:35:06.327,Cuisine
2020-06-26 18:35:54.252,2020-06-26 18:35:59.749,Cuisine
2020-06-26 18:35:59.749,2020-06-26 18:36:13.857,Chambre
2020-06-26 18:36:13.857,2020-06-26 18:36:23.447,Cuisine
2020-06-26 18:36:19.567,2020-06-26 18:36:27.461,Chambre
2020-06-26 18:36:23.447,2020-06-26 18:36:33.017,Cuisine
2020-06-26 18:36:33.017,2020-06-26 18:36:49.733,Chambre
2020-06-26 18:36:49.733,2020-06-26 18:36:59.302,Cuisine
2020-06-26 18:36:56.818,2020-06-26 18:37:10.018,Chambre
2020-06-26 18:36:59.302,2020-06-26 18:37:13.445,Cuisine
2020-06-26 18:39:09.551,2020-06-26 18:39:25.652,Cuisine
2020-06-26 18:40:12.035,2020-06-26 18:40:28.698,Cuisine
2020-06-26 18:41:51.165,2020-06-26 18:42:04.773,Cuisine
2020-06-26 18:42:04.773,2020-06-26 18:42:08.825,Chambre
2020-06-26 18:42:08.825,2020-06-26 18:42:21.895,Cuisine
2020-06-26 18:42:12.084,2020-06-26 18:42:24.359,Chambre
2020-06-26 18:42:21.895,2020-06-26 18:42:30.424,Cuisine
2020-06-26 18:42:30.424,2020-06-26 18:42:40.285,Chambre
2020-06-26 18:42:40.285,2020-06-26 18:42:56.406,Cuisine
2020-06-26 18:42:56.406,2020-06-26 18:43:17.117,Chambre
2020-06-26 18:43:17.117,2020-06-26 18:43:24.659,Cuisine
2020-06-26 18:44:09.617,2020-06-26 18:44:25.254,Cuisine
2020-06-26 18:44:25.254,2020-06-26 18:44:29.811,Chambre
