date                   ,end_date               ,label
2020-06-12 17:56:40.076,2020-06-12 19:04:01.518,Salon
2020-06-12 19:04:09.105,2020-06-12 19:05:23.847,Salle manger ancienne Cuisine
2020-06-12 19:05:45.767,2020-06-12 19:15:27.998,Salon
2020-06-12 19:15:37.817,2020-06-12 19:16:33.098,Salle manger ancienne Cuisine
2020-06-12 19:16:41.449,2020-06-12 19:17:48.809,Salon
2020-06-12 19:18:09.867,2020-06-12 19:18:21.829,Salle manger ancienne Cuisine
2020-06-12 19:18:21.829,2020-06-12 19:18:46.117,Placard 2
2020-06-12 19:18:46.117,2020-06-12 19:21:52.322,Salon
2020-06-12 19:21:52.322,2020-06-12 19:22:28.911,Placard 2
2020-06-12 19:22:28.911,2020-06-12 19:22:40.071,Réfrigérateur
2020-06-12 19:22:41.368,2020-06-12 19:25:51.503,Salle manger ancienne Cuisine
2020-06-12 19:25:51.503,2020-06-12 19:26:05.135,Placard buffet
2020-06-12 19:26:05.135,2020-06-12 19:26:16.340,Salle manger ancienne Cuisine
2020-06-12 19:26:21.710,2020-06-12 19:26:58.167,Salon
2020-06-12 19:27:11.224,2020-06-12 19:28:03.904,Salle manger ancienne Cuisine
2020-06-12 19:28:03.904,2020-06-12 19:28:18.705,Placard buffet
2020-06-12 19:28:18.705,2020-06-12 19:28:30.914,Réfrigérateur
2020-06-12 19:28:32.084,2020-06-12 19:31:53.482,Salle manger ancienne Cuisine
2020-06-12 19:31:53.482,2020-06-12 19:31:59.051,Réfrigérateur
2020-06-12 19:31:59.051,2020-06-12 19:35:50.885,Salle manger ancienne Cuisine
2020-06-12 19:35:59.470,2020-06-12 20:08:21.218,Salon
2020-06-12 20:08:36.009,2020-06-12 20:13:06.476,Salle manger ancienne Cuisine
2020-06-12 20:13:40.028,2020-06-12 20:44:33.580,Salon
2020-06-12 20:44:33.580,2020-06-12 20:48:29.683,Toilette
2020-06-12 20:48:29.683,2020-06-12 22:02:56.996,Salon
2020-06-12 22:02:56.996,2020-06-12 22:03:32.542,Salle manger ancienne Cuisine
2020-06-12 22:03:32.542,2020-06-12 22:06:25.413,Salon
2020-06-12 22:06:42.829,2020-06-12 22:06:43.130,Salle manger ancienne Cuisine
2020-06-12 22:07:16.105,2020-06-13 00:24:25.441,Salon
2020-06-13 00:24:55.694,2020-06-13 00:25:07.357,Salle manger ancienne Cuisine
2020-06-13 00:37:52.584,2020-06-13 04:58:43.920,Chambre à coucher
2020-06-13 04:58:43.920,2020-06-13 05:03:26.598,Toilette
2020-06-13 05:03:21.327,2020-06-13 05:04:50.242,Salle de bain
2020-06-13 05:04:50.242,2020-06-13 07:56:45.750,Chambre à coucher
2020-06-13 08:02:50.279,2020-06-13 08:06:07.246,Salon
2020-06-13 08:06:17.320,2020-06-13 08:07:05.414,Salle manger ancienne Cuisine
2020-06-13 08:07:29.676,2020-06-13 08:08:07.092,Chambre à coucher
2020-06-13 08:08:18.357,2020-06-13 08:13:04.724,Salle manger ancienne Cuisine
2020-06-13 08:13:04.724,2020-06-13 08:13:17.228,Placard buffet
2020-06-13 08:13:17.228,2020-06-13 08:16:27.486,Salle manger ancienne Cuisine
2020-06-13 08:16:35.287,2020-06-13 08:16:36.164,Placard buffet
2020-06-13 08:16:37.578,2020-06-13 08:17:23.663,Salle manger ancienne Cuisine
2020-06-13 08:17:23.663,2020-06-13 08:17:33.173,Réfrigérateur
2020-06-13 08:17:33.173,2020-06-13 08:17:38.640,Salle manger ancienne Cuisine
2020-06-13 08:17:38.640,2020-06-13 08:17:43.640,Réfrigérateur
2020-06-13 08:17:43.640,2020-06-13 08:18:29.626,Salle manger ancienne Cuisine
2020-06-13 08:19:03.217,2020-06-13 08:31:06.504,Salle manger ancienne Cuisine
2020-06-13 08:31:11.008,2020-06-13 08:31:14.961,Réfrigérateur
2020-06-13 08:31:16.556,2020-06-13 08:43:43.567,Salle manger ancienne Cuisine
2020-06-13 08:43:45.892,2020-06-13 08:46:11.040,Salon
2020-06-13 08:46:22.211,2020-06-13 08:58:11.210,Salle manger ancienne Cuisine
2020-06-13 08:58:11.210,2020-06-13 08:59:44.976,Toilette
2020-06-13 08:58:55.939,2020-06-13 09:00:07.612,Bureau
2020-06-13 09:00:07.612,2020-06-13 09:08:13.765,Salle manger ancienne Cuisine
2020-06-13 09:08:21.547,2020-06-13 09:08:27.981,Salon
2020-06-13 09:08:27.981,2020-06-13 09:09:16.566,Bureau
2020-06-13 09:09:16.566,2020-06-13 09:09:16.716,Salle manger ancienne Cuisine
2020-06-13 09:20:44.898,2020-06-13 09:20:50.310,Salon
2020-06-13 09:21:33.965,2020-06-13 09:21:47.339,Salle manger ancienne Cuisine
2020-06-13 09:22:04.622,2020-06-13 09:22:55.309,Bureau
2020-06-13 09:23:23.565,2020-06-13 09:23:32.952,Salle manger ancienne Cuisine
2020-06-13 09:37:21.121,2020-06-13 09:37:54.741,Bureau
2020-06-13 09:38:15.807,2020-06-13 09:38:31.102,Chambre à coucher
2020-06-13 09:38:58.257,2020-06-13 09:38:58.359,Salle manger ancienne Cuisine
2020-06-13 09:39:13.254,2020-06-13 09:39:23.169,Bureau
2020-06-13 09:39:23.169,2020-06-13 09:39:28.627,Ordinateur
2020-06-13 09:39:28.627,2020-06-13 10:03:20.800,Bureau
2020-06-13 10:03:48.934,2020-06-13 10:03:58.980,Salle manger ancienne Cuisine
2020-06-13 10:04:12.063,2020-06-13 10:40:38.036,Bureau
2020-06-13 10:41:54.910,2020-06-13 10:42:04.425,Salle manger ancienne Cuisine
2020-06-13 10:42:17.349,2020-06-13 10:43:41.777,Bureau
2020-06-13 10:43:41.777,2020-06-13 10:44:25.430,Salle manger ancienne Cuisine
2020-06-13 10:44:25.430,2020-06-13 10:45:07.456,Salon
2020-06-13 10:45:17.467,2020-06-13 10:45:24.847,Salle manger ancienne Cuisine
2020-06-13 10:45:39.112,2020-06-13 10:46:16.861,Bureau
2020-06-13 10:46:16.861,2020-06-13 10:46:48.015,Chambre à coucher
2020-06-13 10:46:23.263,2020-06-13 10:46:52.326,Salle manger ancienne Cuisine
2020-06-13 10:46:48.015,2020-06-13 10:47:00.691,Chambre à coucher
2020-06-13 10:47:00.691,2020-06-13 10:47:30.019,Salle manger ancienne Cuisine
2020-06-13 10:47:43.587,2020-06-13 10:49:24.057,Bureau
2020-06-13 10:49:28.497,2020-06-13 10:50:57.907,Chambre à coucher
2020-06-13 10:51:08.375,2020-06-13 10:51:46.233,Bureau
2020-06-13 10:52:00.397,2020-06-13 10:52:31.920,Salle manger ancienne Cuisine
2020-06-13 10:52:39.514,2020-06-13 10:57:41.192,Bureau
2020-06-13 10:57:51.860,2020-06-13 10:59:43.777,Chambre à coucher
2020-06-13 10:59:58.356,2020-06-13 11:18:06.761,Bureau
2020-06-13 11:18:06.761,2020-06-13 11:18:12.630,Ordinateur
2020-06-13 11:18:12.630,2020-06-13 11:20:12.148,Bureau
2020-06-13 11:21:07.179,2020-06-13 11:21:46.986,Salle manger ancienne Cuisine
2020-06-13 11:22:02.898,2020-06-13 11:23:55.867,Toilette
2020-06-13 11:24:03.178,2020-06-13 11:27:06.858,Salle de bain
2020-06-13 11:27:18.663,2020-06-13 11:28:50.407,Chambre à coucher
2020-06-13 11:28:59.437,2020-06-13 11:29:15.677,Salle manger ancienne Cuisine
2020-06-13 11:30:46.012,2020-06-13 11:30:51.550,Réfrigérateur
2020-06-13 11:32:30.380,2020-06-13 11:35:42.696,Salle manger ancienne Cuisine
2020-06-13 19:38:07.983,2020-06-13 19:38:42.098,Salle manger ancienne Cuisine
2020-06-13 19:38:42.098,2020-06-13 19:41:34.424,Toilette
2020-06-13 19:41:34.424,2020-06-13 19:43:05.310,Salle de bain
2020-06-13 19:43:26.454,2020-06-13 19:55:48.631,Salon
2020-06-13 19:56:17.261,2020-06-13 19:59:21.654,Salle manger ancienne Cuisine
2020-06-13 19:59:21.654,2020-06-13 19:59:27.111,Réfrigérateur
2020-06-13 19:59:27.111,2020-06-13 19:59:37.973,Salle manger ancienne Cuisine
2020-06-13 19:59:37.973,2020-06-13 19:59:44.964,Placard buffet
2020-06-13 19:59:44.964,2020-06-13 19:59:58.112,Salle manger ancienne Cuisine
2020-06-13 19:59:58.112,2020-06-13 20:00:12.284,Placard buffet
2020-06-13 20:00:12.284,2020-06-13 20:04:01.357,Salle manger ancienne Cuisine
2020-06-13 20:04:01.357,2020-06-13 20:04:21.413,Réfrigérateur
